"","V1","V2","V3","V4","V5","V6"
"2396","Gymnothorax randalli","Data Deficient",2418029,"Anguilliformes","Muraenidae","Y"
"2397","Gymnothorax richardsonii","Least Concern",2418446,"Anguilliformes","Muraenidae","Y"
"2398","Gymnothorax robinsi","Least Concern",2418671,"Anguilliformes","Muraenidae","Y"
"2399","Gymnothorax sagmacephalus","Data Deficient",2418803,"Anguilliformes","Muraenidae","Y"
"2400","Gymnothorax saxicola","Least Concern",2418894,"Anguilliformes","Muraenidae","Y"
"2401","Gymnothorax shaoi","Data Deficient",2419032,"Anguilliformes","Muraenidae","Y"
"2402","Gymnothorax sokotrensis","Data Deficient",2419123,"Anguilliformes","Muraenidae","Y"
"2403","Gymnothorax steindachneri","Least Concern",2419215,"Anguilliformes","Muraenidae","Y"
"2404","Gymnothorax thyrsoideus","Least Concern",2419428,"Anguilliformes","Muraenidae","Y"
"2405","Gymnothorax tile","Least Concern",2419653,"Anguilliformes","Muraenidae","Y"
"2406","Gymnothorax undulatus","Least Concern",2419811,"Anguilliformes","Muraenidae","Y"
"2407","Gymnothorax vagrans","Data Deficient",2420204,"Anguilliformes","Muraenidae","Y"
"2408","Gymnothorax vicinus","Least Concern",2420286,"Anguilliformes","Muraenidae","Y"
"2409","Gymnothorax woodwardi","Least Concern",2420592,"Anguilliformes","Muraenidae","Y"
"2410","Gymnothorax ypsilon","Least Concern",2420691,"Anguilliformes","Muraenidae","Y"
"2411","Gymnothorax zonipectis","Least Concern",2420808,"Anguilliformes","Muraenidae","Y"
"2412","Muraena augusti","Least Concern",2421141,"Anguilliformes","Muraenidae","Y"
"2413","Muraena pavonina","Least Concern",2421260,"Anguilliformes","Muraenidae","Y"
"2414","Muraena retifera","Least Concern",2421391,"Anguilliformes","Muraenidae","Y"
"2415","Muraena robusta","Least Concern",2421538,"Anguilliformes","Muraenidae","Y"
"2416","Pseudechidna brummeri","Least Concern",2421767,"Anguilliformes","Muraenidae","Y"
"2417","Scuticaria okinawae","Least Concern",2421972,"Anguilliformes","Muraenidae","Y"
"2418","Scuticaria tigrina","Least Concern",2422080,"Anguilliformes","Muraenidae","Y"
"2419","Uropterygius concolor","Least Concern",2422593,"Anguilliformes","Muraenidae","Y"
"2420","Uropterygius fasciolatus","Least Concern",2422880,"Anguilliformes","Muraenidae","Y"
"2421","Uropterygius genie","Data Deficient",2423001,"Anguilliformes","Muraenidae","Y"
"2422","Uropterygius golanii","Data Deficient",2423092,"Anguilliformes","Muraenidae","Y"
"2423","Uropterygius inornatus","Least Concern",2423212,"Anguilliformes","Muraenidae","Y"
"2424","Uropterygius kamar","Least Concern",2423344,"Anguilliformes","Muraenidae","Y"
"2425","Uropterygius macrocephalus","Least Concern",2423479,"Anguilliformes","Muraenidae","Y"
"2426","Uropterygius macularius","Least Concern",2423761,"Anguilliformes","Muraenidae","Y"
"2427","Uropterygius marmoratus","Least Concern",2423898,"Anguilliformes","Muraenidae","Y"
"2428","Uropterygius micropterus","Least Concern",2424130,"Anguilliformes","Muraenidae","Y"
"2429","Uropterygius nagoensis","Least Concern",2424316,"Anguilliformes","Muraenidae","Y"
"2430","Uropterygius polyspilus","Least Concern",2424402,"Anguilliformes","Muraenidae","Y"
"2431","Uropterygius supraforatus","Least Concern",2424569,"Anguilliformes","Muraenidae","Y"
"2432","Uropterygius xanthopterus","Least Concern",2424757,"Anguilliformes","Muraenidae","Y"
"2433","Uropterygius xenodontus","Least Concern",2424954,"Anguilliformes","Muraenidae","Y"
"2434","Myroconger compressus","Data Deficient",2425090,"Anguilliformes","Myrocongridae","Y"
"2435","Aldrovandia phalacra","Least Concern",2425617,"Notacanthiformes","Halosauridae","Y"
"2436","Aldrovandia rostrata","Least Concern",2425844,"Notacanthiformes","Halosauridae","Y"
"2437","Halosauropsis macrochir","Least Concern",2425949,"Notacanthiformes","Halosauridae","Y"
"2438","Halosaurus attenuatus","Least Concern",2426127,"Notacanthiformes","Halosauridae","Y"
"2439","Halosaurus johnsonianus","Least Concern",2426330,"Notacanthiformes","Halosauridae","Y"
"2440","Halosaurus ovenii","Least Concern",2426462,"Notacanthiformes","Halosauridae","Y"
"2441","Notacanthus chemnitzii","Least Concern",2427458,"Notacanthiformes","Notacanthidae","Y"
"2442","Gymnothorax rueppelliae","Least Concern",2428153,"Anguilliformes","Muraenidae","Y"
"2443","Bathygobius antilliensis","Least Concern",2428454,"Perciformes","Gobiidae","Y"
"2444","Bathygobius lacertus","Least Concern",2428519,"Perciformes","Gobiidae","Y"
"2445","Elacatinus colini","Least Concern",2428578,"Perciformes","Gobiidae","Y"
"2446","Elacatinus lobeli","Near Threatened",2428639,"Perciformes","Gobiidae","Y"
"2447","Elacatinus serranilla","Least Concern",2428702,"Perciformes","Gobiidae","Y"
"2448","Ptereleotris randalli","Least Concern",2428836,"Perciformes","Microdesmidae","Y"
"2449","Derilissus nanus","Data Deficient",2429000,"Gobiesociformes","Gobiesocidae","Y"
"2450","Tomicodon briggsi","Least Concern",2429072,"Gobiesociformes","Gobiesocidae","Y"
"2451","Tomicodon reitzae","Least Concern",2429179,"Gobiesociformes","Gobiesocidae","Y"
"2452","Eucinostomus havana","Least Concern",2429273,"Perciformes","Gerreidae","Y"
"2453","Gramma dejongi","Data Deficient",2429338,"Perciformes","Grammatidae","Y"
"2454","Apogon axillaris","Least Concern",2429395,"Perciformes","Apogonidae","Y"
"2455","Apogon imberbis","Least Concern",2429460,"Perciformes","Apogonidae","Y"
"2456","Meiacanthus anema","Data Deficient",2443863,"Perciformes","Blenniidae","Y"
"2457","Omobranchus ferox","Least Concern",2443978,"Perciformes","Blenniidae","Y"
"2458","Omox biporos","Data Deficient",2444129,"Perciformes","Blenniidae","Y"
"2459","Belobranchus belobranchus","Data Deficient",2444273,"Perciformes","Eleotridae","Y"
"2460","Butis gymnopomus","Least Concern",2444549,"Perciformes","Eleotridae","Y"
"2461","Eleotris acanthopoma","Least Concern",2444588,"Perciformes","Eleotridae","Y"
"2462","Thryssa baelama","Least Concern",2445194,"Clupeiformes","Engraulidae","Y"
"2463","Galaxias neocaledonicus","Endangered",2445367,"Osmeriformes","Galaxiidae",NA
"2464","Akihito futuna","Critically Endangered",2445486,"Perciformes","Gobiidae",NA
"2465","Akihito vanuatu","Least Concern",2445621,"Perciformes","Gobiidae",NA
"2466","Lentipes kaaea","Least Concern",2446280,"Perciformes","Gobiidae",NA
"2467","Lentipes rubrofasciatus","Data Deficient",2446389,"Perciformes","Gobiidae",NA
"2468","Lentipes solomonensis","Data Deficient",2446473,"Perciformes","Gobiidae",NA
"2469","Lentipes venustus","Data Deficient",2446563,"Perciformes","Gobiidae",NA
"2470","Mangarinus waterousi","Data Deficient",2446651,"Perciformes","Gobiidae","Y"
"2471","Mugilogobius notospilus","Least Concern",2446898,"Perciformes","Gobiidae","Y"
"2472","Mugilogobius fusculus","Data Deficient",2447069,"Perciformes","Gobiidae","Y"
"2473","Oligolepis stomias","Data Deficient",2447182,"Perciformes","Gobiidae","Y"
"2474","Parioglossus formosus","Least Concern",2447294,"Perciformes","Microdesmidae","Y"
"2475","Parioglossus lineatus","Data Deficient",2447532,"Perciformes","Microdesmidae","Y"
"2476","Parioglossus marginalis","Data Deficient",2447622,"Perciformes","Microdesmidae","Y"
"2477","Parioglossus palustris","Least Concern",2447661,"Perciformes","Microdesmidae","Y"
"2478","Parioglossus rainfordi","Least Concern",2447796,"Perciformes","Microdesmidae","Y"
"2479","Parioglossus raoi","Least Concern",2447919,"Perciformes","Microdesmidae","Y"
"2480","Parioglossus triquetrus","Data Deficient",2448132,"Perciformes","Microdesmidae","Y"
"2481","Periophthalmus argentilineatus","Least Concern",2448210,"Perciformes","Gobiidae","Y"
"2482","Periophthalmus kalolo","Least Concern",2448249,"Perciformes","Gobiidae","Y"
"2483","Pseudogobius poicilosoma","Least Concern",2448288,"Perciformes","Gobiidae","Y"
"2484","Redigobius lekutu","Data Deficient",2448745,"Perciformes","Gobiidae",NA
"2485","Redigobius leveri","Data Deficient",2448854,"Perciformes","Gobiidae","Y"
"2486","Redigobius oyensi","Data Deficient",2448952,"Perciformes","Gobiidae",NA
"2487","Redigobius tambujon","Least Concern",2449111,"Perciformes","Gobiidae","Y"
"2488","Schismatogobius fuligimentus","Data Deficient",2449241,"Perciformes","Gobiidae",NA
"2489","Schismatogobius vanuatuensis","Data Deficient",2449339,"Perciformes","Gobiidae",NA
"2490","Schismatogobius vitiensis","Least Concern",2449434,"Perciformes","Gobiidae",NA
"2491","Sicyopterus aiensis","Near Threatened",2449516,"Perciformes","Gobiidae",NA
"2492","Sicyopterus macrostetholepis","Data Deficient",2449877,"Perciformes","Gobiidae","Y"
"2493","Sicyopterus marquesensis","Data Deficient",2449948,"Perciformes","Gobiidae",NA
"2494","Sicyopterus ouwensi","Data Deficient",2450110,"Perciformes","Gobiidae",NA
"2495","Sicyopterus pugnans","Least Concern",2450229,"Perciformes","Gobiidae",NA
"2496","Sicyopterus rapa","Endangered",2450339,"Perciformes","Gobiidae","Y"
"2497","Sicyopterus sarasini","Endangered",2450435,"Perciformes","Gobiidae",NA
"2498","Smilosicyopus bitaeniatus","Data Deficient",2450723,"Perciformes","Gobiidae",NA
"2499","Smilosicyopus chloe","Least Concern",2450808,"Perciformes","Gobiidae",NA
"2500","Smilosicyopus sasali","Endangered",2451063,"Perciformes","Gobiidae",NA
"2501","Stenogobius alleni","Data Deficient",2451303,"Perciformes","Gobiidae","Y"
"2502","Stenogobius beauforti","Least Concern",2451387,"Perciformes","Gobiidae",NA
"2503","Stenogobius caudimaculosus","Data Deficient",2451481,"Perciformes","Gobiidae",NA
"2504","Stenogobius genivittatus","Least Concern",2451568,"Perciformes","Gobiidae","Y"
"2505","Stenogobius hoesei","Least Concern",2451659,"Perciformes","Gobiidae",NA
"2506","Stenogobius keletaona","Vulnerable",2451758,"Perciformes","Gobiidae",NA
"2507","Stenogobius laterisquamatus","Least Concern",2451851,"Perciformes","Gobiidae",NA
"2508","Stenogobius marqueti","Data Deficient",2451947,"Perciformes","Gobiidae",NA
"2509","Stenogobius psilosinionus","Data Deficient",2452036,"Perciformes","Gobiidae",NA
"2510","Stenogobius randalli","Data Deficient",2452140,"Perciformes","Gobiidae",NA
"2511","Stenogobius squamosus","Data Deficient",2452229,"Perciformes","Gobiidae",NA
"2512","Stenogobius watsoni","Data Deficient",2452318,"Perciformes","Gobiidae",NA
"2513","Stenogobius yateiensis","Least Concern",2452402,"Perciformes","Gobiidae","Y"
"2514","Stiphodon astilbos","Data Deficient",2452493,"Perciformes","Gobiidae",NA
"2515","Stiphodon birdsong","Least Concern",2452850,"Perciformes","Gobiidae",NA
"2516","Stiphodon discotorquatus","Critically Endangered",2453080,"Perciformes","Gobiidae",NA
"2517","Stiphodon elegans","Least Concern",2453196,"Perciformes","Gobiidae","Y"
"2518","Stiphodon julieni","Endangered",2453511,"Perciformes","Gobiidae",NA
"2519","Stiphodon kalfatak","Data Deficient",2453612,"Perciformes","Gobiidae",NA
"2520","Stiphodon larson","Data Deficient",2453696,"Perciformes","Gobiidae",NA
"2521","Stiphodon mele","Data Deficient",2453784,"Perciformes","Gobiidae",NA
"2522","Stiphodon rubromaculatus","Critically Endangered",2453880,"Perciformes","Gobiidae",NA
"2523","Stiphodon sapphirinus","Least Concern",2454120,"Perciformes","Gobiidae",NA
"2524","Stiphodon tuivi","Least Concern",2454343,"Perciformes","Gobiidae",NA
"2525","Taenioides cirratus","Data Deficient",2454430,"Perciformes","Gobiidae","Y"
"2526","Plectorhinchus gibbosus","Least Concern",2454631,"Perciformes","Haemulidae","Y"
"2527","Zenarchopterus caudovittatus","Data Deficient",2454877,"Beloniformes","Zenarchopteridae",NA
"2528","Zenarchopterus gilli","Least Concern",2454963,"Beloniformes","Zenarchopteridae","Y"
"2529","Kuhlia malo","Data Deficient",2455118,"Perciformes","Kuhliidae",NA
"2530","Kuhlia mugil","Least Concern",2455231,"Perciformes","Kuhliidae","Y"
"2531","Kuhlia munda","Data Deficient",2455320,"Perciformes","Kuhliidae","Y"
"2532","Kuhlia salelea","Data Deficient",2455496,"Perciformes","Kuhliidae",NA
"2533","Cestraeus goldiei","Data Deficient",2455907,"Mugiliformes","Mugilidae","Y"
"2534","Cestraeus plicatilis","Data Deficient",2456021,"Mugiliformes","Mugilidae","Y"
"2535","Crenimugil heterocheilos","Least Concern",2456396,"Mugiliformes","Mugilidae","Y"
"2536","Lamnostoma orientalis","Least Concern",2456599,"Anguilliformes","Ophichthidae","Y"
"2537","Protogobius attiti","Endangered",2456963,"Perciformes","Rhyacichthyidae","Y"
"2538","Rhyacichthys guilberti","Data Deficient",2457207,"Perciformes","Rhyacichthyidae","Y"
"2539","Siganus vermiculatus","Least Concern",2457345,"Perciformes","Siganidae","Y"
"2540","Pardachirus poropterus","Data Deficient",2457532,"Pleuronectiformes","Soleidae","Y"
"2541","Hippichthys albomaculosus","Data Deficient",2457692,"Syngnathiformes","Syngnathidae",NA
"2542","Microphis argulus","Least Concern",2457731,"Syngnathiformes","Syngnathidae","Y"
"2543","Microphis brevidorsalis","Least Concern",2457770,"Syngnathiformes","Syngnathidae",NA
"2544","Microphis cruentus","Data Deficient",2457809,"Syngnathiformes","Syngnathidae",NA
"2545","Microphis manadensis","Least Concern",2457848,"Syngnathiformes","Syngnathidae","Y"
"2546","Microphis mento","Least Concern",2457887,"Syngnathiformes","Syngnathidae","Y"
"2547","Microphis retzii","Least Concern",2457926,"Syngnathiformes","Syngnathidae",NA
"2548","Mesopristes argenteus","Least Concern",2457965,"Perciformes","Terapontidae","Y"
"2549","Mesopristes cancellatus","Least Concern",2458079,"Perciformes","Terapontidae","Y"
"2550","Toxotes jaculatrix","Least Concern",2458352,"Perciformes","Toxotidae","Y"
"2551","Ijimaia antillarum","Least Concern",2472604,"Ateleopodiformes","Ateleopodidae","Y"
"2552","Opsanus pardus","Least Concern",2472655,"Batrachoidiformes","Batrachoididae","Y"
"2553","Fundulus jenkinsi","Vulnerable",2473113,"Cyprinodontiformes","Fundulidae","Y"
"2554","Fundulus pulvereus","Least Concern",2473222,"Cyprinodontiformes","Fundulidae","Y"
"2555","Coryphaenoides mexicanus","Least Concern",2473323,"Gadiformes","Macrouridae","Y"
"2556","Ogcocephalus declivirostris","Least Concern",2473378,"Lophiiformes","Ogcocephalidae","Y"
"2557","Oneirodes bradburyae","Data Deficient",2473491,"Lophiiformes","Oneirodidae","Y"
"2558","Gunterichthys longipenis","Least Concern",2473589,"Ophidiiformes","Bythitidae","Y"
"2559","Parasaccogaster rhamphidognatha","Data Deficient",2473733,"Ophidiiformes","Bythitidae",NA
"2560","Chasmodes longimaxilla","Least Concern",2473830,"Perciformes","Blenniidae","Y"
"2561","Hypleurochilus caudovittatus","Least Concern",2473980,"Perciformes","Blenniidae","Y"
"2562","Hypleurochilus multifilis","Least Concern",2474102,"Perciformes","Blenniidae","Y"
"2563","Microdesmus lanceolatus","Least Concern",2474200,"Perciformes","Microdesmidae","Y"
"2564","Cynoscion arenarius","Least Concern",2474293,"Perciformes","Sciaenidae","Y"
"2565","Exechodontes daidaleus","Least Concern",2474411,"Perciformes","Zoarcidae","Y"
"2566","Lycenchelys bullisi","Least Concern",2474466,"Perciformes","Zoarcidae","Y"
"2567","Gymnachirus texae","Least Concern",2474568,"Pleuronectiformes","Achiridae","Y"
"2568","Citharichthys abbotti","Least Concern",2474679,"Pleuronectiformes","Paralichthyidae","Y"
"2569","Prionotus longispinosus","Least Concern",2474787,"Scorpaeniformes","Triglidae","Y"
"2570","Prionotus paralatus","Least Concern",2474888,"Scorpaeniformes","Triglidae","Y"
"2571","Eustomias leptobolus","Data Deficient",2474979,"Stomiiformes","Stomiidae","Y"
"2572","Bagre marinus","Least Concern",2476570,"Siluriformes","Ariidae","Y"
"2573","Carlarius heudelotii","Least Concern",2476648,"Siluriformes","Ariidae","Y"
"2574","Cathorops arenatus","Least Concern",2476933,"Siluriformes","Ariidae",NA
"2575","Cathorops belizensis","Data Deficient",2476992,"Siluriformes","Ariidae","Y"
"2576","Cathorops higuchii","Least Concern",2477055,"Siluriformes","Ariidae","Y"
"2577","Neoarius berneyi","Least Concern",2477670,"Siluriformes","Ariidae",NA
"2578","Neoarius graeffei","Least Concern",2477684,"Siluriformes","Ariidae","Y"
"2579","Neoarius leptaspis","Least Concern",2477832,"Siluriformes","Ariidae","Y"
"2580","Neoarius midgleyi","Least Concern",2477839,"Siluriformes","Ariidae","Y"
"2581","Notarius grandicassis","Least Concern",2477881,"Siluriformes","Ariidae","Y"
"2582","Notarius neogranatensis","Vulnerable",2477940,"Siluriformes","Ariidae","Y"
"2583","Potamarius nelsoni","Least Concern",2478056,"Siluriformes","Ariidae",NA
"2584","Potamarius usumacintae","Data Deficient",2478063,"Siluriformes","Ariidae",NA
"2585","Sciades passany","Data Deficient",2478070,"Siluriformes","Ariidae","Y"
"2586","Agonostomus catalai","Data Deficient",2478197,"Mugiliformes","Mugilidae","Y"
"2587","Chelon bispinosus","Least Concern",2478261,"Mugiliformes","Mugilidae","Y"
"2588","Liza grandisquamis","Data Deficient",2478310,"Mugiliformes","Mugilidae","Y"
"2589","Mugil bananensis","Least Concern",2478610,"Mugiliformes","Mugilidae","Y"
"2590","Mugil capurrii","Least Concern",2478624,"Mugiliformes","Mugilidae","Y"
"2591","Mugil rubrioculus","Least Concern",2478692,"Mugiliformes","Mugilidae","Y"
"2592","Trachystoma petardi","Least Concern",2478758,"Mugiliformes","Mugilidae","Y"
"2593","Valamugil robustus","Least Concern",2478821,"Mugiliformes","Mugilidae","Y"
"2594","Amphiarius phrygiatus","Least Concern",2478828,"Siluriformes","Ariidae","Y"
"2595","Galaxias fasciatus","Least Concern",2481170,"Osmeriformes","Galaxiidae","Y"
"2596","Galaxias anomalus","Critically Endangered",2481333,"Osmeriformes","Galaxiidae",NA
"2597","Galaxias cobitinis","Critically Endangered",2481368,"Osmeriformes","Galaxiidae",NA
"2598","Galaxias depressiceps","Vulnerable",2481502,"Osmeriformes","Galaxiidae",NA
"2599","Galaxias divergens","Endangered",2481541,"Osmeriformes","Galaxiidae",NA
"2600","Galaxias eldoni","Critically Endangered",2481584,"Osmeriformes","Galaxiidae",NA
"2601","Galaxias gollumoides","Critically Endangered",2481634,"Osmeriformes","Galaxiidae",NA
"2602","Galaxias macronasus","Critically Endangered",2481677,"Osmeriformes","Galaxiidae",NA
"2603","Galaxias paucispondylus","Least Concern",2481718,"Osmeriformes","Galaxiidae",NA
"2604","Galaxias prognathus","Critically Endangered",2481758,"Osmeriformes","Galaxiidae",NA
"2605","Galaxias pullus","Critically Endangered",2481802,"Osmeriformes","Galaxiidae",NA
"2606","Galaxias vulgaris","Least Concern",2481843,"Osmeriformes","Galaxiidae",NA
"2607","Neochanna heleios","Critically Endangered",2481887,"Osmeriformes","Galaxiidae",NA
"2608","Rhombosolea retiaria","Data Deficient",2481933,"Pleuronectiformes","Pleuronectidae","Y"
"2609","Gobiomorphus basalis","Least Concern",2481973,"Perciformes","Eleotridae",NA
"2610","Gobiomorphus breviceps","Least Concern",2482013,"Perciformes","Eleotridae",NA
"2611","Gobiomorphus cotidianus","Least Concern",2482075,"Perciformes","Eleotridae","Y"
"2612","Gobiomorphus gobioides","Least Concern",2482119,"Perciformes","Eleotridae","Y"
"2613","Gobiomorphus hubbsi","Vulnerable",2482164,"Perciformes","Eleotridae","Y"
"2614","Gobiomorphus huttoni","Near Threatened",2482207,"Perciformes","Eleotridae","Y"
"2615","Retropinna retropinna","Least Concern",2482269,"Osmeriformes","Retropinnidae","Y"
"2616","Stokellia anisodon","Least Concern",2482321,"Osmeriformes","Retropinnidae","Y"
"2617","Cheimarrichthys fosteri","Vulnerable",2482366,"Perciformes","Cheimarrichthyidae","Y"
"2618","Millerichthys robustus","Endangered",2482411,"Cyprinodontiformes","Rivulidae",NA
"2619","Coloconger cadenati","Least Concern",2545792,"Anguilliformes","Colocongridae","Y"
"2620","Ariosoma anago","Data Deficient",2546379,"Anguilliformes","Congridae","Y"
"2621","Ophichthus leonensis","Data Deficient",2546727,"Anguilliformes","Ophichthidae","Y"
"2622","Heteroconger hassi","Least Concern",2546860,"Anguilliformes","Congridae","Y"
"2623","Xenomystax austrinus","Least Concern",2547112,"Anguilliformes","Congridae","Y"
"2624","Heteroconger tricia","Data Deficient",2547209,"Anguilliformes","Congridae","Y"
"2625","Sanopus reticulatus","Endangered",2547481,"Batrachoidiformes","Batrachoididae","Y"
"2626","Promyllantor atlanticus","Data Deficient",2548181,"Anguilliformes","Congridae","Y"
"2627","Aprognathodon platyventris","Least Concern",2548270,"Anguilliformes","Ophichthidae","Y"
"2628","Myrichthys pardalis","Least Concern",2548462,"Anguilliformes","Ophichthidae","Y"
"2629","Conger macrocephalus","Least Concern",2549134,"Anguilliformes","Congridae","Y"
"2630","Ariosoma opistophthalmum","Least Concern",2549213,"Anguilliformes","Congridae","Y"
"2631","Bascanichthys paulensis","Least Concern",2549297,"Anguilliformes","Ophichthidae","Y"
"2632","Ichthyapus insularis","Data Deficient",2549391,"Anguilliformes","Ophichthidae","Y"
"2633","Ariosoma obud","Data Deficient",2549806,"Anguilliformes","Congridae","Y"
"2634","Gorgasia sillneri","Data Deficient",2549980,"Anguilliformes","Congridae","Y"
"2635","Bathyuroconger parvibranchialis","Least Concern",2550183,"Anguilliformes","Congridae","Y"
"2636","Conger esculentus","Least Concern",2550613,"Anguilliformes","Congridae","Y"
"2637","Ariosoma sereti","Least Concern",2550760,"Anguilliformes","Congridae","Y"
"2638","Gorgasia inferomaculata","Data Deficient",2550931,"Anguilliformes","Congridae","Y"
"2639","Promyllantor purpureus","Least Concern",2551071,"Anguilliformes","Congridae","Y"
"2640","Bathymyrus smithi","Least Concern",2551497,"Anguilliformes","Congridae","Y"
"2641","Myrichthys breviceps","Least Concern",2551596,"Anguilliformes","Ophichthidae","Y"
"2642","Uroconger erythraeus","Least Concern",2551767,"Anguilliformes","Congridae","Y"
"2643","Ariosoma bauchotae","Data Deficient",2551846,"Anguilliformes","Congridae","Y"
"2644","Rhynchoconger trewavasae","Least Concern",2552034,"Anguilliformes","Congridae","Y"
"2645","Conger myriaster","Least Concern",2552131,"Anguilliformes","Congridae","Y"
"2646","Congriscus megastomus","Least Concern",2552239,"Anguilliformes","Congridae","Y"
"2647","Brachysomophis atlanticus","Least Concern",2552323,"Anguilliformes","Ophichthidae","Y"
"2648","Hemerorhinus opici","Data Deficient",2552491,"Anguilliformes","Ophichthidae","Y"
"2649","Gnathophis capensis","Least Concern",2552676,"Anguilliformes","Congridae","Y"
"2650","Rhynchoconger gracilior","Least Concern",2552760,"Anguilliformes","Congridae","Y"
"2651","Ariosoma multivertebratum","Data Deficient",2552958,"Anguilliformes","Congridae","Y"
"2652","Gnathophis macroporis","Least Concern",2553059,"Anguilliformes","Congridae","Y"
"2653","Promyllantor adenensis","Least Concern",2553362,"Anguilliformes","Congridae","Y"
"2654","Gorgasia thamani","Least Concern",2553746,"Anguilliformes","Congridae","Y"
"2655","Bathycongrus varidens","Least Concern",2553915,"Anguilliformes","Congridae","Y"
"2656","Gnathophis leptosomatus","Least Concern",2554166,"Anguilliformes","Congridae","Y"
"2657","Japonoconger africanus","Least Concern",2554247,"Anguilliformes","Congridae","Y"
"2658","Acromycter nezumi","Least Concern",2554542,"Anguilliformes","Congridae","Y"
"2659","Nettenchelys pygmaea","Least Concern",2554635,"Anguilliformes","Nettastomatidae","Y"
"2660","Heteroconger enigmaticus","Least Concern",2554716,"Anguilliformes","Congridae","Y"
"2661","Heteroconger tomberua","Data Deficient",2554910,"Anguilliformes","Congridae","Y"
"2662","Macrocephenchelys brachialis","Least Concern",2555001,"Anguilliformes","Congridae","Y"
"2663","Ilyophis brunneus","Least Concern",2555436,"Anguilliformes","Synaphobranchidae","Y"
"2664","Xyrias guineensis","Data Deficient",2555753,"Anguilliformes","Ophichthidae","Y"
"2665","Yirrkala tenuis","Least Concern",2555804,"Anguilliformes","Ophichthidae","Y"
"2666","Ariosoma ophidiophthalmus","Data Deficient",2555940,"Anguilliformes","Congridae","Y"
"2667","Diploconger polystigmatus","Least Concern",2556022,"Anguilliformes","Congridae","Y"
"2668","Heteroconger cobra","Least Concern",2556124,"Anguilliformes","Congridae","Y"
"2669","Heteroconger longissimus","Least Concern",2556385,"Anguilliformes","Congridae","Y"
"2670","Pseudomyrophis frio","Least Concern",2557550,"Anguilliformes","Ophichthidae","Y"
"2671","Congrosoma evermanni","Least Concern",2557652,"Anguilliformes","Congridae","Y"
"2672","Haptenchelys texis","Least Concern",2557736,"Anguilliformes","Synaphobranchidae","Y"
"2673","Gorgasia hawaiiensis","Least Concern",2557916,"Anguilliformes","Congridae","Y"
"2674","Heteroconger perissodon","Least Concern",2557993,"Anguilliformes","Congridae","Y"
"2675","Ariosoma major","Least Concern",2558258,"Anguilliformes","Congridae","Y"
"2676","Ariosoma anagoides","Data Deficient",2558374,"Anguilliformes","Congridae","Y"
"2677","Gorgasia naeocepaea","Least Concern",2558513,"Anguilliformes","Congridae","Y"
"2678","Ariosoma meeki","Least Concern",2558596,"Anguilliformes","Congridae","Y"
"2679","Bathymyrus echinorhynchus","Least Concern",2558953,"Anguilliformes","Congridae","Y"
"2680","Myrophis punctatus","Least Concern",2559616,"Anguilliformes","Ophichthidae","Y"
"2681","Conger oligoporus","Least Concern",2559791,"Anguilliformes","Congridae","Y"
"2682","Gorgasia klausewitzi","Least Concern",2560369,"Anguilliformes","Congridae","Y"
"2683","Echiophis intertinctus","Least Concern",2560469,"Anguilliformes","Ophichthidae","Y"
"2684","Callechelys guineensis","Least Concern",2560633,"Anguilliformes","Ophichthidae","Y"
"2685","Macrocephenchelys brevirostris","Least Concern",2560822,"Anguilliformes","Congridae","Y"
"2686","Gnathophis asanoi","Least Concern",2560941,"Anguilliformes","Congridae","Y"
"2687","Parabathymyrus fijiensis","Least Concern",2561453,"Anguilliformes","Congridae","Y"
"2688","Dalophis obtusirostris","Data Deficient",2561715,"Anguilliformes","Ophichthidae","Y"
"2689","Ariosoma nigrimanum","Data Deficient",2561803,"Anguilliformes","Congridae","Y"
"2690","Heteroconger chapmani","Data Deficient",2562159,"Anguilliformes","Congridae","Y"
"2691","Ariosoma marginatum","Least Concern",2562488,"Anguilliformes","Congridae","Y"
"2692","Herpetoichthys regius","Data Deficient",2562677,"Anguilliformes","Ophichthidae",NA
"2693","Gnathophis habenatus","Least Concern",2562793,"Anguilliformes","Congridae","Y"
"2694","Pseudomyrophis atlanticus","Least Concern",2563072,"Anguilliformes","Ophichthidae","Y"
"2695","Bathycongrus wallacei","Least Concern",2563257,"Anguilliformes","Congridae","Y"
"2696","Gnathophis xenica","Data Deficient",2563376,"Anguilliformes","Congridae","Y"
"2697","Lumiconger arafura","Least Concern",2563530,"Anguilliformes","Congridae","Y"
"2698","Pisodonophis semicinctus","Least Concern",2563848,"Anguilliformes","Ophichthidae","Y"
"2699","Blachea xenobranchialis","Least Concern",2564079,"Anguilliformes","Congridae","Y"
"2700","Gnathophis musteliceps","Least Concern",2564170,"Anguilliformes","Congridae","Y"
"2701","Phaenomonas longissima","Least Concern",2564822,"Anguilliformes","Ophichthidae","Y"
"2702","Gordiichthys leibyi","Least Concern",2564932,"Anguilliformes","Ophichthidae","Y"
"2703","Gnathophis castlei","Least Concern",2565249,"Anguilliformes","Congridae","Y"
"2704","Pseudophichthys splendens","Least Concern",2565331,"Anguilliformes","Congridae","Y"
"2705","Acromycter longipectoralis","Data Deficient",2565660,"Anguilliformes","Congridae","Y"
"2706","Chiloconger philippinensis","Least Concern",2565823,"Anguilliformes","Congridae","Y"
"2707","Hoplunnis punctata","Least Concern",2566052,"Anguilliformes","Nettastomatidae","Y"
